function	caller_role	file	line
admin_engineers_by_district	authenticated	app/src/main/kotlin/com/equipseva/app/features/founder/FounderRepository.kt	457
admin_escrow_event_timeline	authenticated	app/src/main/kotlin/com/equipseva/app/features/founder/FounderRepository.kt	743
admin_force_role_change	authenticated	app/src/main/kotlin/com/equipseva/app/features/founder/FounderRepository.kt	441
admin_inactive_engineers	authenticated	app/src/main/kotlin/com/equipseva/app/features/founder/FounderRepository.kt	400
admin_integrity_flags	authenticated	app/src/main/kotlin/com/equipseva/app/features/founder/FounderRepository.kt	409
admin_list_cash_suspended_engineers	authenticated	app/src/main/kotlin/com/equipseva/app/features/founder/FounderRepository.kt	660
admin_list_engineer_payouts	authenticated	app/src/main/kotlin/com/equipseva/app/features/founder/FounderRepository.kt	820
admin_list_engineer_payouts	authenticated	web/src/app/payouts/[id]/page.tsx	67
admin_list_engineer_payouts	authenticated	web/src/app/payouts/[id]/page.tsx	68
admin_list_engineer_payouts	authenticated	web/src/app/payouts/page.tsx	46
admin_list_open_amc_escalations	authenticated	app/src/main/kotlin/com/equipseva/app/features/founder/FounderRepository.kt	641
admin_list_open_escrow_disputes	authenticated	app/src/main/kotlin/com/equipseva/app/features/founder/FounderRepository.kt	572
admin_list_recent_resolved_disputes	authenticated	app/src/main/kotlin/com/equipseva/app/features/founder/FounderRepository.kt	596
admin_list_recent_spot_audits	authenticated	app/src/main/kotlin/com/equipseva/app/features/founder/FounderRepository.kt	616
admin_mark_engineer_payout_paid	authenticated	app/src/main/kotlin/com/equipseva/app/features/founder/FounderRepository.kt	842
admin_mark_engineer_payout_paid	authenticated	web/src/app/actions/payouts.ts	15
admin_pending_buyer_kyc	authenticated	app/src/main/kotlin/com/equipseva/app/features/founder/FounderRepository.kt	491
admin_pending_engineers	authenticated	app/src/main/kotlin/com/equipseva/app/features/founder/FounderRepository.kt	293
admin_pending_engineers	authenticated	web/src/app/onboarding/page.tsx	30
admin_pending_reports	authenticated	app/src/main/kotlin/com/equipseva/app/features/founder/FounderRepository.kt	319
admin_pending_seller_verifications	authenticated	app/src/main/kotlin/com/equipseva/app/features/founder/FounderRepository.kt	314
admin_recent_payments	authenticated	app/src/main/kotlin/com/equipseva/app/features/founder/FounderRepository.kt	354
admin_recent_payments_stats	authenticated	app/src/main/kotlin/com/equipseva/app/features/founder/FounderRepository.kt	363
admin_resolve_amc_escalation	authenticated	app/src/main/kotlin/com/equipseva/app/features/founder/FounderRepository.kt	649
admin_resolve_escrow_dispute	authenticated	app/src/main/kotlin/com/equipseva/app/features/founder/FounderRepository.kt	629
admin_resolve_report	authenticated	app/src/main/kotlin/com/equipseva/app/features/founder/FounderRepository.kt	327
admin_set_buyer_kyc_status	authenticated	app/src/main/kotlin/com/equipseva/app/features/founder/FounderRepository.kt	500
admin_set_engineer_verification	authenticated	app/src/main/kotlin/com/equipseva/app/features/founder/FounderRepository.kt	302
admin_set_engineer_verification	authenticated	web/src/app/actions/onboarding.ts	17
admin_set_org_verification	authenticated	app/src/main/kotlin/com/equipseva/app/features/founder/FounderRepository.kt	342
admin_top_engineers	authenticated	app/src/main/kotlin/com/equipseva/app/features/founder/FounderRepository.kt	372
admin_users_search	authenticated	app/src/main/kotlin/com/equipseva/app/features/founder/FounderRepository.kt	429
adopted_innovation_ideas_r2056	authenticated	web/src/app/founder-engineer-innovation-ideation/page.tsx	38
adoption_status_summary_r2539	authenticated	web/src/app/founder-hospital-chain-procurement-policy-evolution/page.tsx	21
age_bucket_summary_r2452	authenticated	web/src/app/founder-customer-payment-aging-buckets/page.tsx	12
age_distribution_r2575	authenticated	web/src/app/founder-hospital-chain-equipment-installed-base-inventory/page.tsx	84
ageing_summary_r1747	authenticated	web/src/app/founder-hospital-cash-collection-tracker/page.tsx	75
aggregate_amendments_r2213	authenticated	web/src/app/founder-customer-contract-amendment-ledger/page.tsx	12
aggregate_customer_escrow_holdback_r2224	authenticated	web/src/app/founder-customer-escrow-holdback-tracker/page.tsx	13
aggregate_dd_queue_r2210	authenticated	web/src/app/founder-investor-dd-qa-queue/page.tsx	12
aggregate_engineer_utilization_r2218	authenticated	web/src/app/founder-engineer-billable-utilization-tracker/page.tsx	12
aggregate_hospital_purchase_commitments_r2223	authenticated	web/src/app/founder-hospital-purchase-commitment-forecast/page.tsx	65
aggregate_hospital_qbr_r2215	authenticated	web/src/app/founder-hospital-qbr-tracker/page.tsx	13
aggregate_metric_r2203	authenticated	web/src/app/founder-weekly-metric-anomaly-detector/page.tsx	12
aggregate_mileage_r2206	authenticated	web/src/app/founder-engineer-mileage-travel-tracker/page.tsx	13
aggregate_night_shift_r2222	authenticated	web/src/app/founder-engineer-night-shift-premium-tracker/page.tsx	13
aggregate_nps_trend_r2216	authenticated	web/src/app/founder-customer-nps-pulse/page.tsx	10
aggregate_one_on_one_r2221	authenticated	web/src/app/founder-one-on-one-cadence-tracker/page.tsx	13
aggregate_or_search_r2205	authenticated	web/src/app/founder-engineer-customer-feedback-heatmap/page.tsx	11
aggregate_or_search_r2208	authenticated	web/src/app/founder-amc-tier-bump-request-log/page.tsx	13
aggregate_or_search_r2209	authenticated	web/src/app/founder-daily-focus-calendar/page.tsx	11
aggregate_or_search_r2211	authenticated	web/src/app/founder-hospital-admin-activity-audit/page.tsx	12
aggregate_reference_pipeline_r2220	authenticated	web/src/app/founder-customer-reference-call-pipeline/page.tsx	13
aggregate_rfp_r2207	authenticated	web/src/app/founder-hospital-rfp-response-tracker/page.tsx	13
aggregate_skill_gap_revenue_r2214	authenticated	web/src/app/founder-engineer-skill-gap-revenue-link/page.tsx	13
aggregate_sla_health_r2204	authenticated	web/src/app/founder-hospital-vip-customer-escalation-router/page.tsx	12
aggregate_strategic_decisions_r2217	authenticated	web/src/app/founder-strategic-decision-ledger/page.tsx	13
aggregate_tender_roi_r2219	authenticated	web/src/app/founder-hospital-tender-response-roi/page.tsx	12
aggregate_training_r2212	authenticated	web/src/app/founder-engineer-training-video-watch-tracker/page.tsx	12
aggregate_vendor_scores_r2225	authenticated	web/src/app/founder-vendor-relationship-score/page.tsx	13
alignment_kind_distribution_r2549	authenticated	web/src/app/founder-weekly-energy-allocation-audit/page.tsx	21
alignment_score_trend_r2561	authenticated	web/src/app/founder-quarterly-product-strategy-doc/page.tsx	20
alignment_score_trend_r2641	authenticated	web/src/app/founder-monthly-cofounder-alignment-rhythm/page.tsx	13
alignment_trend_r2557	authenticated	web/src/app/founder-monthly-cofounder-1on1-quality/page.tsx	21
analytics_events_retention_sweep	service_role	supabase/functions/cron-tick/index.ts	321
annual_cost_breakdown_r2449	authenticated	web/src/app/founder-vendor-contract-risk-register/page.tsx	23
annual_goals_year_summary_r1794	authenticated	web/src/app/founder-annual-goals-tracker/page.tsx	12
anomaly_kind_breakdown_r2604	authenticated	web/src/app/founder-customer-monthly-billing-anomaly-detection/page.tsx	13
application_outcome_summary_r2625	authenticated	web/src/app/founder-monthly-personal-development-investment/page.tsx	24
applied_inspirations_summary_r1726	authenticated	web/src/app/founder-inspiration-library/page.tsx	14
applied_summary_r1830	authenticated	web/src/app/founder-weekly-reading-log/page.tsx	14
apply_amc_pool_credit	service_role	supabase/functions/verify-amc-payment/index.ts	316
approve_refund_authorization	authenticated	web/src/app/actions/refunds.ts	13
approver_workload_r1780	authenticated	web/src/app/founder-engineer-promotion-approval-workflow/page.tsx	12
archive_gaps_r2816	authenticated	web/src/app/founder-customer-monthly-engineer-job-completion-photo-archive/page.tsx	79
archive_kind_distribution_r2586	authenticated	web/src/app/founder-engineer-customer-photo-evidence-archive/page.tsx	77
arr_delta_by_kind_r2423	authenticated	web/src/app/founder-hospital-chain-contract-amendment-tracker/page.tsx	25
article_kind_breakdown_r2446	authenticated	web/src/app/founder-engineer-knowledge-base-contribution-tracker/page.tsx	14
ask_pipeline_summary_r2441	authenticated	web/src/app/founder-monthly-investor-update-pipeline/page.tsx	24
asset_class_summary_r2503	authenticated	web/src/app/founder-hospital-chain-asset-utilization-benchmark/page.tsx	13
asset_history	authenticated	app/src/main/kotlin/com/equipseva/app/features/amc/HospitalFleetHealthRepository.kt	62
at_risk_chains_r1755	authenticated	web/src/app/founder-hospital-multi-site-aggregator/page.tsx	69
at_risk_checklists_r2396	authenticated	web/src/app/founder-customer-onboarding-checklist-completion-tracker/page.tsx	76
at_risk_customers_r1987	authenticated	web/src/app/founder-hospital-customer-lifetime-pipeline/page.tsx	11
at_risk_focus_r2459	authenticated	web/src/app/founder-hospital-chain-implementation-burndown/page.tsx	12
at_risk_hospitals_r1915	authenticated	web/src/app/founder-hospital-service-quality-dashboard/page.tsx	11
at_risk_investor_trust_r2117	authenticated	web/src/app/founder-investor-trust-score-tracker/page.tsx	11
at_risk_r2032	authenticated	web/src/app/founder-engineer-performance-scorecard/page.tsx	10
at_risk_r2040	authenticated	web/src/app/founder-engineer-customer-retention-score/page.tsx	11
at_risk_r2072	authenticated	web/src/app/founder-engineer-customer-trust-score/page.tsx	10
at_risk_r2094	authenticated	web/src/app/founder-investor-relationship-health/page.tsx	30
at_risk_r2118	authenticated	web/src/app/founder-hire-manage-coach-cycle/page.tsx	11
at_risk_renewals_r1939	authenticated	web/src/app/founder-hospital-service-contract-renewals/page.tsx	11
at_risk_roster_r2317	authenticated	web/src/app/founder-leadership-team-retention-tracker/page.tsx	103
at_risk_summary_r2437	authenticated	web/src/app/founder-go-no-go-launch-tracker/page.tsx	21
at_risk_supply_hospitals_r2039	authenticated	web/src/app/founder-hospital-supply-chain-visibility/page.tsx	11
attendance_rate_summary_r2613	authenticated	web/src/app/founder-monthly-customer-advisory-board-progress/page.tsx	13
attendance_summary_r2511	authenticated	web/src/app/founder-hospital-chain-stakeholder-event-attendance/page.tsx	14
attendance_trend_r1982	authenticated	web/src/app/founder-daily-standup-tracker/page.tsx	46
attribution_kind_breakdown_r2578	authenticated	web/src/app/founder-engineer-customer-retention-attribution/page.tsx	21
audience_kind_distribution_r2621	authenticated	web/src/app/founder-monthly-public-speaking-impact/page.tsx	21
audit_health_band_summary_r2331	authenticated	web/src/app/founder-hospital-chain-90day-audit/page.tsx	126
audit_log_timeline_r2816	authenticated	web/src/app/founder-customer-monthly-engineer-job-completion-photo-archive/page.tsx	80
audit_status_breakdown_r3050	authenticated	web/src/app/founder-engineer-monthly-customer-site-critical-care-bed-mattress-pressure-sensor-audit/page.tsx	42
audit_status_summary_r2331	authenticated	web/src/app/founder-hospital-chain-90day-audit/page.tsx	125
audit_status_summary_r2434	authenticated	web/src/app/founder-engineer-tool-kit-inventory/page.tsx	23
audit_summary_by_hospital_r1667	authenticated	web/src/app/founder-hospital-equipment-audit-log/page.tsx	49
audit_summary_r1762	authenticated	web/src/app/founder-burnout-self-audit/page.tsx	12
audit_summary_r2310	authenticated	web/src/app/founder-engineer-kit-completeness-audit/page.tsx	86
audits_by_kind_r2310	authenticated	web/src/app/founder-engineer-kit-completeness-audit/page.tsx	90
audits_by_month_r2310	authenticated	web/src/app/founder-engineer-kit-completeness-audit/page.tsx	89
authority_ladder_compliance_r3127	authenticated	web/src/app/founder-pricing-power-authority-matrix/page.tsx	120
auto_block_rate_r2538	authenticated	web/src/app/founder-engineer-fatigue-rest-cycle-alignment/page.tsx	16
auto_correction_rate_r2604	authenticated	web/src/app/founder-customer-monthly-billing-anomaly-detection/page.tsx	14
auto_create_due_amc_visits	service_role	supabase/functions/cron-tick/index.ts	128
auto_renew_expiring_amc_contracts	service_role	supabase/functions/cron-tick/index.ts	155
auto_reorder_summary_r2444	authenticated	web/src/app/founder-customer-spare-parts-just-in-time-watch/page.tsx	23
available_references_r1778	authenticated	web/src/app/founder-customer-reference-lookup/page.tsx	12
average_sprint_score_r1806	authenticated	web/src/app/founder-sprint-retro-board/page.tsx	62
avg_time_per_item_r2396	authenticated	web/src/app/founder-customer-onboarding-checklist-completion-tracker/page.tsx	74
balance_kind_distribution_r2633	authenticated	web/src/app/founder-monthly-time-on-customers-vs-product/page.tsx	14
bar_pass_rate_summary_r2601	authenticated	web/src/app/founder-monthly-key-hire-pipeline-quality/page.tsx	14
behind_regions_r2132	authenticated	web/src/app/founder-engineer-bench-hire-velocity/page.tsx	11
below_curve_engineers_r2418	authenticated	web/src/app/founder-engineer-onboarding-runway-tracker/page.tsx	21
beneficiary_summary_per_investor_r1753	authenticated	web/src/app/founder-investor-beneficiary-roster/page.tsx	12
biggest_losses_r1814	authenticated	web/src/app/founder-weekly-okr-dashboard/page.tsx	13
biggest_wins_r1814	authenticated	web/src/app/founder-weekly-okr-dashboard/page.tsx	12
billable_vs_non_billable_summary_r2498	authenticated	web/src/app/founder-engineer-time-on-task-distribution/page.tsx	93
blocked_chain_integrations_r2279	authenticated	web/src/app/founder-hospital-chain-tech-stack-mapping/page.tsx	12
blocked_diligence_r1746	authenticated	web/src/app/founder-acquihire-pipeline/page.tsx	47
blocked_focus_r2437	authenticated	web/src/app/founder-go-no-go-launch-tracker/page.tsx	20
blocked_focus_r2445	authenticated	web/src/app/founder-weekly-prioritization-stack/page.tsx	15
blocked_integrations_r1919	authenticated	web/src/app/founder-hospital-tech-stack-compatibility/page.tsx	11
blocked_pairs_r1896	authenticated	web/src/app/founder-engineer-hospital-affinity-index/page.tsx	67
blocker_breakdown_r2419	authenticated	web/src/app/founder-hospital-chain-multi-site-rollout-tracker/page.tsx	33
blocker_breakdown_r2443	authenticated	web/src/app/founder-hospital-chain-onboarding-runway-tracker/page.tsx	87
blocker_focus_r2435	authenticated	web/src/app/founder-hospital-chain-decision-maker-relationship-map/page.tsx	20
blockers_per_hospital_r1811	authenticated	web/src/app/founder-hospital-decision-maker-map/page.tsx	13
blockers_to_address_r1699	authenticated	web/src/app/founder-hospital-stakeholder-map/page.tsx	13
blocking_conflicts_r1920	authenticated	web/src/app/founder-engineer-schedule-conflict-detector/page.tsx	12
blur_rate_summary_r2666	authenticated	web/src/app/founder-engineer-customer-photo-ai-quality-scorer/page.tsx	15
board_alignment_summary_r2541	authenticated	web/src/app/founder-quarterly-board-deck-narrative-arc/page.tsx	23
board_observer_blocked_list	authenticated	web/src/app/founder-board-observer-onboarding/page.tsx	40
board_observer_cadence_calendar	authenticated	web/src/app/founder-board-observer-onboarding/page.tsx	42
board_observer_funnel_summary	authenticated	web/src/app/founder-board-observer-onboarding/page.tsx	39
board_observer_kpis	authenticated	web/src/app/founder-board-observer-onboarding/page.tsx	37
board_observer_onboarding_list	authenticated	web/src/app/founder-board-observer-onboarding/page.tsx	38
board_observer_recent_activity	authenticated	web/src/app/founder-board-observer-onboarding/page.tsx	41
board_pack_critical_status_r2285	authenticated	web/src/app/founder-weekly-board-pack-auto-builder/page.tsx	14
board_pack_due_today_r2285	authenticated	web/src/app/founder-weekly-board-pack-auto-builder/page.tsx	12
board_pack_engagement_r2429	authenticated	web/src/app/founder-investor-relations-pulse/page.tsx	47
board_pack_finalize_log_r2285	authenticated	web/src/app/founder-weekly-board-pack-auto-builder/page.tsx	13
board_pack_kpis_r2285	authenticated	web/src/app/founder-weekly-board-pack-auto-builder/page.tsx	15
board_pack_metrics_list_r2285	authenticated	web/src/app/founder-weekly-board-pack-auto-builder/page.tsx	10
board_pack_overview_r2285	authenticated	web/src/app/founder-weekly-board-pack-auto-builder/page.tsx	9
board_pack_owner_load_r2285	authenticated	web/src/app/founder-weekly-board-pack-auto-builder/page.tsx	11
board_response_summary_r2561	authenticated	web/src/app/founder-quarterly-product-strategy-doc/page.tsx	22
board_seat_summary_r1701	authenticated	web/src/app/founder-investor-voting-rights-tracker/page.tsx	13
bond_kind_distribution_r2581	authenticated	web/src/app/founder-monthly-key-customer-personal-relationship/page.tsx	21
bond_strength_distribution_r2560	authenticated	web/src/app/founder-customer-loyalty-event-attendance/page.tsx	22
bonus_kind_distribution_r2650	authenticated	web/src/app/founder-engineer-customer-loyalty-bonus-payout/page.tsx	13
bonus_pipeline_r2495	authenticated	web/src/app/founder-hospital-chain-customer-advocacy-flywheel/page.tsx	38
bonus_summary_r1733	authenticated	web/src/app/founder-investor-referral-bonus-tracker/page.tsx	25
bottleneck_breakdown_r2427	authenticated	web/src/app/founder-hospital-chain-procurement-cycle-tracker/page.tsx	12
bottleneck_breakdown_r2468	authenticated	web/src/app/founder-hospital-chain-quote-to-cash-cycle/page.tsx	13
bottleneck_breakdown_r2512	authenticated	web/src/app/founder-customer-onboarding-time-to-first-value/page.tsx	21
bottom_engineer_utilization_r2218	authenticated	web/src/app/founder-engineer-billable-utilization-tracker/page.tsx	11
bottom_engineers_r1804	authenticated	web/src/app/founder-engineer-kpi-card/page.tsx	51
bottom_performers_r1688	authenticated	web/src/app/founder-engineer-productivity-score/page.tsx	45
brand_equity_efficiency_r2781	authenticated	web/src/app/founder-quarterly-brand-equity-pulse/page.tsx	112
brand_equity_list_campaigns_r2781	authenticated	web/src/app/founder-quarterly-brand-equity-pulse/page.tsx	108
brand_equity_list_segments_r2781	authenticated	web/src/app/founder-quarterly-brand-equity-pulse/page.tsx	107
brand_equity_nps_movers_r2781	authenticated	web/src/app/founder-quarterly-brand-equity-pulse/page.tsx	111
brand_equity_pulse_kpis_r2781	authenticated	web/src/app/founder-quarterly-brand-equity-pulse/page.tsx	106
brand_equity_shift_verdicts_r2781	authenticated	web/src/app/founder-quarterly-brand-equity-pulse/page.tsx	110
brand_equity_signal_mix_r2781	authenticated	web/src/app/founder-quarterly-brand-equity-pulse/page.tsx	109
breach_kind_distribution_r2585	authenticated	web/src/app/founder-monthly-spending-discipline-tracker/page.tsx	21
breach_severity_rollup_r3127	authenticated	web/src/app/founder-pricing-power-authority-matrix/page.tsx	119
breach_summary_r1771	authenticated	web/src/app/founder-hospital-service-window-sla/page.tsx	12
bridge_kind_distribution_r2564	authenticated	web/src/app/founder-customer-equipment-data-quality-air-gap-bridge/page.tsx	37
broken_focus_r2564	authenticated	web/src/app/founder-customer-equipment-data-quality-air-gap-bridge/page.tsx	39
broken_focus_r2574	authenticated	web/src/app/founder-engineer-customer-trust-credit-score/page.tsx	21
budget_bucket_distribution_r2596	authenticated	web/src/app/founder-customer-yearly-equipment-aging-replacement-budget/page.tsx	14
budget_cycle_kind_breakdown_r2535	authenticated	web/src/app/founder-hospital-chain-cfo-budget-cycle-alignment/page.tsx	14
budget_holders_r1811	authenticated	web/src/app/founder-hospital-decision-maker-map/page.tsx	14
budget_tightening_breakdown_r2556	authenticated	web/src/app/founder-customer-quarterly-budget-cycle-discount-ask/page.tsx	13
bug_kind_distribution_r2514	authenticated	web/src/app/founder-engineer-app-bug-report-quality/page.tsx	88
burn_status_funnel_r2672	authenticated	web/src/app/founder-customer-monthly-spare-parts-burn-rate-watch/page.tsx	109
burn_summary_r2672	authenticated	web/src/app/founder-customer-monthly-spare-parts-burn-rate-watch/page.tsx	112
by_category_r2063	authenticated	web/src/app/founder-hospital-equipment-catalog/page.tsx	51
